The Doctor,(1991),PG-13,122 min,$38.12M,Randa Haines,William Hurt,Christine Lahti,Elizabeth Perkins,Mandy Patinkin
Bill & Ted's Bogus Journey,(1991),PG,93 min,$38.04M,Peter Hewitt,Keanu Reeves,Alex Winter,William Sadler,Joss Ackland
Dead Again,(1991),R,107 min,$38.02M,Kenneth Branagh,Kenneth Branagh,Emma Thompson,Andy Garcia,Derek Jacobi
Soapdish,(1991),PG-13,97 min,$36.49M,Michael Hoffman,Sally Field,Kevin Kline,Robert Downey Jr.,Cathy Moriarty
Other People's Money,(1991),R,103 min,$35.68M,Norman Jewison,Danny DeVito,Gregory Peck,Penelope Ann Miller,Piper Laurie
The Doors,(1991),R,140 min,$35.18M,Oliver Stone,Val Kilmer,Meg Ryan,Kyle MacLachlan,Frank Whaley
Freddy's Dead: The Final Nightmare,(1991),R,89 min,$34.87M,Rachel Talalay,Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane
White Fang,(I) (1991),PG,107 min,$34.79M,Randal Kleiser,Ethan Hawke,Klaus Maria Brandauer,Seymour Cassel,Susan Hogan
King Ralph,(1991),PG,97 min,$34.00M,David S. Ward,John Goodman,Peter O'Toole,John Hurt,Camille Coduri
Curly Sue,(1991),PG,101 min,$33.69M,John Hughes,James Belushi,Kelly Lynch,Alisan Porter,John Getz
Dying Young,(1991),R,111 min,$33.67M,Joel Schumacher,Julia Roberts,Campbell Scott,Vincent D'Onofrio,Colleen Dewhurst
Grand Canyon,(1991),R,134 min,$33.24M,Lawrence Kasdan,Danny Glover,Kevin Kline,Steve Martin,Mary McDonnell
Jungle Fever,(1991),R,132 min,$32.48M,Spike Lee,Wesley Snipes,Annabella Sciorra,Spike Lee,Ossie Davis
Double Impact,(1991),R,110 min,$30.10M,Sheldon Lettich,Jean-Claude Van Damme,Geoffrey Lewis,Alonna Shaw,Corinna Everson
L.A. Story,(1991),PG-13,95 min,$28.86M,Mick Jackson,Steve Martin,Victoria Tennant,Richard E. Grant,Sarah Jessica Parker
Deceived,(1991),PG-13,104 min,$28.74M,Damian Harris,Goldie Hawn,John Heard,Damon Redfern,Charles Kassatly
Necessary Roughness,(1991),PG-13,108 min,$26.26M,Stan Dragoti,Scott Bakula,Hector Elizondo,Robert Loggia,Harley Jane Kozak
The Hard Way,(1991),R,111 min,$25.90M,John Badham,Michael J. Fox,James Woods,Stephen Lang,Annabella Sciorra
"Mon père, ce héros.",(1991),NR,105 min,$25.48M,Gérard Lauzier,Gérard Depardieu,Marie Gillain,Catherine Jacob,Charlotte de Turckheim
